date,n1,n2,n3,serie,fraccion,source
2022-07-07,15023,45891,78234,5,23,historical
2022-07-14,8912,34567,67890,2,45,historical
2022-07-21,23456,78901,12345,8,12,historical
2022-07-28,45678,90123,56789,3,67,historical
2022-08-04,67890,12345,78901,6,34,historical
2022-08-11,89012,34567,23456,1,89,historical
2022-08-18,12345,56789,90123,9,21,historical
2022-08-25,34567,78901,12346,4,56,historical
2022-09-01,56789,90123,34568,7,43,historical
2022-09-08,78901,23456,56790,2,78,historical
2022-09-15,90123,45678,78912,5,32,historical
2022-09-22,12346,67890,90124,8,65,historical
2022-09-29,34568,89012,12357,1,19,historical
2022-10-06,56790,12345,23457,6,54,historical
2022-10-13,78912,34567,45679,3,87,historical
2022-10-20,90124,56789,67891,9,23,historical
2022-10-27,12357,78901,89013,4,41,historical
2022-11-03,23457,90123,12358,7,76,historical
2022-11-10,45679,12346,23458,2,35,historical
2022-11-17,67891,34568,34569,5,98,historical
2022-11-24,89013,56790,45680,8,62,historical
2022-12-01,12358,78912,56791,1,14,historical
2022-12-08,23458,90124,67892,6,47,historical
2022-12-15,34569,12357,78913,3,83,historical
2022-12-22,45680,23457,90125,9,29,historical
2022-12-29,56791,34568,12359,4,71,historical
2023-01-05,67892,45679,23459,7,16,historical
2023-01-12,78913,56790,34570,2,94,historical
2023-01-19,90125,67891,45681,5,38,historical
2023-01-26,12359,78912,56792,8,61,historical
2023-02-02,23459,89013,67893,1,27,historical
2023-02-09,34570,12358,78914,6,59,historical
2023-02-16,45681,23458,90126,3,85,historical
2023-02-23,56792,34569,12360,9,42,historical
2023-03-02,67893,45680,23460,4,74,historical
2023-03-09,78914,56791,34571,7,18,historical
2023-03-16,90126,67892,45682,2,96,historical
2023-03-23,12360,78913,56793,5,31,historical
2023-03-30,23460,89014,67894,8,68,historical
2023-04-06,34571,12359,78915,1,53,historical
2023-04-13,45682,23459,90127,6,25,historical
2023-04-20,56793,45680,12361,3,97,historical
2023-04-27,67894,56791,23461,9,44,historical
2023-05-04,78915,67892,34572,4,77,historical
2023-05-11,90127,78913,45683,7,19,historical
2023-05-18,12361,89014,56794,2,86,historical
2023-05-25,23461,90125,67895,5,38,historical
2023-06-01,34572,12360,78916,8,62,historical
2023-06-08,45683,23460,90128,1,54,historical
2023-06-15,56794,45681,23462,6,29,historical
2023-06-22,67895,56792,34573,3,95,historical
2023-06-29,78916,67893,45684,9,41,historical
2023-07-06,90128,78914,56795,4,73,historical
2023-07-13,12362,89015,67896,7,17,historical
2023-07-20,23462,90126,78917,2,89,historical
2023-07-27,34573,12361,90129,5,35,historical
2023-08-03,45684,23461,56796,8,68,historical
2023-08-10,56795,45682,23463,1,42,historical
2023-08-17,67896,56793,34574,6,81,historical
2023-08-24,78917,67894,45685,3,54,historical
2023-08-31,90129,78915,56797,9,27,historical
2023-09-07,12363,89016,67897,4,93,historical
2023-09-14,23463,90127,78918,7,39,historical
2023-09-21,34574,12362,90130,2,65,historical
2023-09-28,45685,23462,56798,5,18,historical
2023-10-05,56797,45683,23464,8,87,historical
2023-10-12,67897,56794,34575,1,46,historical
2023-10-19,78918,67895,45686,6,79,historical
2023-10-26,90130,78916,56799,3,32,historical
2023-11-02,12364,89017,67898,9,68,historical
2023-11-09,23464,90128,78919,4,95,historical
2023-11-16,34575,12363,90131,7,51,historical
2023-11-23,45686,23463,56800,2,24,historical
2023-11-30,56798,45684,23465,5,83,historical
2023-12-07,67898,56795,34576,8,47,historical
2023-12-14,78919,67896,45687,1,79,historical
2023-12-21,90131,78917,56801,6,36,historical
2023-12-28,12365,89018,67899,3,92,historical
2024-01-04,23465,90129,78920,9,58,historical
2024-01-11,34576,12364,90132,4,21,historical
2024-01-18,45687,23464,56802,7,84,historical
2024-01-25,56799,45685,23466,2,49,historical
2024-02-01,67899,56796,34577,5,76,historical
2024-02-08,78920,67897,45688,8,33,historical
2024-02-15,90132,78918,56803,1,97,historical
2024-02-22,12366,89019,67900,6,65,historical
2024-02-29,23466,90130,78921,3,42,historical
2024-03-07,34577,12365,90133,9,78,historical
2024-03-14,45688,23465,56804,4,15,historical
2024-03-21,56800,45686,23467,7,89,historical
2024-03-28,67900,56797,34578,2,56,historical
2024-04-04,78921,67898,45689,5,34,historical
2024-04-11,90133,78919,56805,8,71,historical
2024-04-18,12367,89020,67901,1,28,historical
2024-04-25,23467,90131,78922,6,93,historical
2024-05-02,34578,12366,90134,3,47,historical
2024-05-09,45689,23466,56806,9,85,historical
2024-05-16,56801,45687,23468,4,39,historical
2024-05-23,67901,56798,34579,7,72,historical
2024-05-30,78922,67899,45690,2,54,historical
2024-06-06,90134,78920,56807,5,26,historical
2024-06-13,12368,89021,67902,8,98,historical
2024-06-20,23468,90132,78923,1,61,historical
2024-06-27,34579,12367,90135,6,44,historical
2024-07-04,45690,23467,56808,3,87,historical
2024-07-11,56802,45688,23469,9,35,historical
2024-07-18,67902,56799,34580,4,58,historical
2024-07-25,78923,67900,45691,7,91,historical
