date,n1,n2,n3,n4,serie,fraccion,source
2026-08-13,39736,67157,70561,84617,9,18,realistic_simulation
2026-08-06,86287,95999,98750,98953,10,30,realistic_simulation
2026-07-30,19700,40084,49164,64738,10,73,realistic_simulation
2026-07-23,15361,47924,58620,79243,2,40,realistic_simulation
2026-07-16,29723,38080,49758,51540,7,65,realistic_simulation
2026-07-09,26621,86621,89967,94476,7,4,realistic_simulation
2026-07-02,30628,65728,71514,95379,2,68,realistic_simulation
2026-06-25,15494,59724,79311,82653,10,95,realistic_simulation
2026-06-18,26869,55415,56119,82977,4,36,realistic_simulation
2026-06-11,17311,26428,38348,64239,4,61,realistic_simulation
2026-06-04,66329,66983,94058,97632,8,65,realistic_simulation
2026-05-28,17151,43668,44266,59889,1,94,realistic_simulation
2026-05-21,11158,61276,68970,97222,1,78,realistic_simulation
2026-05-14,23353,25819,37288,89673,5,88,realistic_simulation
2026-05-07,54820,66460,75591,97544,9,36,realistic_simulation
2026-04-30,53513,84138,85441,98573,1,77,realistic_simulation
2026-04-23,19110,51544,60351,80549,1,87,realistic_simulation
2026-04-16,35951,40172,98869,98897,5,31,realistic_simulation
2026-04-09,13111,31370,33636,90230,4,100,realistic_simulation
2026-04-02,29053,82328,85525,91970,9,18,realistic_simulation
2026-03-26,13410,33673,45449,78384,4,25,realistic_simulation
2026-03-19,18730,22242,29384,46542,1,28,realistic_simulation
2026-03-12,32674,35798,59233,80690,7,9,realistic_simulation
2026-03-05,44586,79675,83003,89344,4,22,realistic_simulation
2026-02-26,22516,45724,53470,82445,10,66,realistic_simulation
2026-02-19,34005,50141,54142,54281,8,37,realistic_simulation
2026-02-12,15669,17695,31007,75812,3,49,realistic_simulation
2026-02-05,16634,35799,44924,74545,8,58,realistic_simulation
2026-01-29,71823,72624,81471,95215,10,41,realistic_simulation
2026-01-22,57878,76578,81717,82139,1,9,realistic_simulation
2026-01-15,24112,69280,83961,94520,5,99,realistic_simulation
2026-01-08,35549,42667,70866,74016,7,66,realistic_simulation
2026-01-01,40493,81805,97524,99797,1,5,realistic_simulation
2025-12-25,26026,28845,41371,99113,2,97,realistic_simulation
2025-12-18,33686,42473,56102,69306,4,50,realistic_simulation
2025-12-11,32783,82796,97418,97466,8,61,realistic_simulation
2025-12-04,18564,34161,59772,70491,7,3,realistic_simulation
2025-11-27,27924,43635,53766,84103,1,98,realistic_simulation
2025-11-20,20753,34577,36171,46962,8,21,realistic_simulation
2025-11-13,42415,47341,82251,89486,10,20,realistic_simulation
2025-11-06,29691,37912,70958,84565,3,82,realistic_simulation
2025-10-30,31979,33208,40854,43918,1,100,realistic_simulation
2025-10-23,29725,40242,74025,84148,10,35,realistic_simulation
2025-10-16,13321,23531,60159,63116,7,51,realistic_simulation
2025-10-09,10385,10437,65454,92010,7,97,realistic_simulation
2025-10-02,53508,62702,67421,96402,9,73,realistic_simulation
2025-09-25,25101,26759,27879,93574,9,37,realistic_simulation
2025-09-18,12383,28044,45782,54882,1,30,realistic_simulation
2025-09-11,19153,73040,84750,91269,2,9,realistic_simulation
2025-09-04,59353,72959,82392,89428,5,51,realistic_simulation
2025-08-28,19289,73591,75567,97389,5,69,realistic_simulation
2025-08-21,42172,43895,50076,88199,1,26,realistic_simulation
2025-08-14,12338,36317,56048,70800,7,71,realistic_simulation
2025-08-07,14593,49244,52639,67867,2,93,realistic_simulation
2025-07-31,28991,60098,69682,71292,7,37,realistic_simulation
2025-07-24,18648,62846,66924,93915,7,66,realistic_simulation
2025-07-17,42392,55427,82563,91555,1,53,realistic_simulation
2025-07-10,34457,35128,75198,97276,1,46,realistic_simulation
2025-07-03,23004,65311,84673,92391,1,57,realistic_simulation
2025-06-26,19353,47587,85792,91615,2,63,realistic_simulation
2025-06-19,21781,46874,69499,84997,9,36,realistic_simulation
2025-06-12,10258,15060,40773,47456,4,49,realistic_simulation
2025-06-05,30723,52677,60388,72948,10,97,realistic_simulation
2025-05-29,21763,31165,44341,56318,9,49,realistic_simulation
2025-05-22,17896,40441,41928,93324,3,38,realistic_simulation
2025-05-15,27424,30554,60393,98169,7,16,realistic_simulation
2025-05-08,38402,48541,66887,68320,3,35,realistic_simulation
2025-05-01,10701,35921,85962,96094,9,96,realistic_simulation
2025-04-24,33635,58243,58820,61606,2,93,realistic_simulation
2025-04-17,33071,69968,80067,92147,4,55,realistic_simulation
2025-04-10,23391,28767,76013,82199,6,49,realistic_simulation
2025-04-03,57645,70888,78866,81390,4,70,realistic_simulation
2025-03-27,33351,51792,59632,85291,6,20,realistic_simulation
