date,n1,n2,n3,n4,n5,key_number,source
2024-12-01,3,15,27,38,49,7,historical
2024-11-24,8,21,33,41,52,4,historical
2024-11-17,12,18,29,36,47,1,historical
2024-11-10,5,19,31,39,50,9,historical
2024-11-03,7,22,34,42,53,2,historical
2024-10-27,11,25,37,44,54,6,historical
2024-10-20,4,16,28,35,48,3,historical
2024-10-13,9,23,32,40,51,8,historical
2024-10-06,2,14,26,38,45,5,historical
2024-09-29,6,20,30,43,52,0,historical
2024-09-22,10,24,36,41,49,7,historical
2024-09-15,13,27,39,46,54,4,historical
2024-09-08,1,17,31,44,50,2,historical
2024-09-01,8,21,35,47,53,9,historical
2024-08-25,5,19,33,42,51,6,historical
2024-08-18,11,28,40,48,54,1,historical
2024-08-11,3,22,36,49,52,8,historical
2024-08-04,7,25,37,43,50,5,historical
2024-07-28,12,29,41,46,53,3,historical
2024-07-21,4,18,34,47,51,0,historical
2024-07-14,9,26,38,44,54,7,historical
2024-07-07,2,20,32,48,52,4,historical
2024-06-30,6,23,39,45,49,1,historical
2024-06-23,14,30,42,50,53,8,historical
2024-06-16,5,27,41,47,54,6,historical
2024-06-09,11,28,35,46,51,2,historical
2024-06-02,8,24,36,43,52,9,historical
2024-05-26,3,19,37,44,50,5,historical
2024-05-19,13,31,40,48,53,0,historical
2024-05-12,7,25,38,45,54,7,historical
2024-05-05,10,26,34,49,51,3,historical
2024-04-28,4,22,33,47,52,1,historical
2024-04-21,12,29,42,46,50,8,historical
2024-04-14,6,20,35,43,54,4,historical
2024-04-07,9,27,39,48,53,6,historical
2024-03-31,2,18,36,44,51,0,historical
2024-03-24,11,30,41,47,52,9,historical
2024-03-17,5,23,37,45,49,2,historical
2024-03-10,8,26,38,46,54,7,historical
2024-03-03,14,32,40,48,53,5,historical
2024-02-25,3,21,34,42,50,1,historical
2024-02-18,10,28,39,47,51,8,historical
2024-02-11,7,25,36,44,52,3,historical
2024-02-04,13,31,41,49,54,6,historical
2024-01-28,4,22,35,43,50,0,historical
2024-01-21,9,27,38,46,53,9,historical
2024-01-14,6,24,37,45,51,4,historical
2024-01-07,12,30,42,48,54,7,historical
2023-12-31,5,23,33,47,52,2,historical
2023-12-24,11,29,39,46,50,5,historical
2023-12-17,8,26,36,44,53,1,historical
2023-12-10,2,20,34,41,49,8,historical
2023-12-03,15,31,40,48,54,3,historical
2023-11-26,7,25,38,45,52,6,historical
2023-11-19,10,28,37,47,51,0,historical
2023-11-12,4,22,35,43,50,9,historical
2023-11-05,14,30,42,46,53,7,historical
2023-10-29,6,24,39,48,54,4,historical
2023-10-22,9,27,36,44,51,1,historical
2023-10-15,3,21,38,45,52,8,historical
2023-10-08,13,31,41,49,53,5,historical
2023-10-01,8,26,34,47,50,2,historical
2023-09-24,11,29,40,46,54,6,historical
2023-09-17,5,23,37,43,51,0,historical
2023-09-10,12,30,39,48,52,9,historical
2023-09-03,7,25,36,44,49,3,historical
2023-08-27,10,28,38,45,53,7,historical
2023-08-20,4,22,33,47,50,1,historical
2023-08-13,14,32,42,46,54,8,historical
2023-08-06,6,24,35,43,51,4,historical
2023-07-30,9,27,39,48,52,5,historical
2023-07-23,2,20,37,44,49,0,historical
2023-07-16,13,31,41,47,53,9,historical
2023-07-09,8,26,38,45,50,6,historical
2023-07-02,11,29,36,46,54,2,historical
2023-06-25,5,23,34,42,51,7,historical
2023-06-18,15,30,40,48,53,1,historical
2023-06-11,7,25,39,44,49,8,historical
2023-06-04,10,28,37,47,52,3,historical
2023-05-28,4,22,33,45,50,0,historical
2023-05-21,14,32,41,46,54,9,historical
2023-05-14,6,24,38,43,51,5,historical
2023-05-07,9,27,35,48,53,7,historical
2023-04-30,12,30,42,47,49,1,historical
2023-04-23,3,21,36,44,52,8,historical
2023-04-16,8,26,39,45,50,4,historical
2023-04-09,13,31,40,46,54,6,historical
2023-04-02,11,29,37,43,51,2,historical
2023-03-26,5,23,34,48,53,9,historical
2023-03-19,7,25,38,47,49,0,historical
2023-03-12,10,28,35,44,52,7,historical
2023-03-05,4,22,36,45,50,3,historical
2023-02-26,14,32,39,46,54,1,historical
2023-02-19,6,24,37,48,53,8,historical
2023-02-12,9,27,40,43,51,5,historical
2023-02-05,12,30,41,47,49,6,historical
2023-01-29,3,21,38,44,52,0,historical
2023-01-22,8,26,35,46,50,9,historical
2023-01-15,13,31,42,45,54,4,historical
2023-01-08,11,29,36,48,53,7,historical
2023-01-01,5,23,39,43,51,2,historical
2022-12-26,7,25,37,47,49,1,historical
2022-12-19,10,28,40,46,50,8,historical
2022-12-12,4,22,34,44,52,5,historical
2022-12-05,14,32,38,45,53,0,historical
2022-11-28,6,24,36,48,54,9,historical
2022-11-21,9,27,41,43,51,6,historical
2022-11-14,12,30,39,47,49,3,historical
2022-11-07,3,21,35,46,50,7,historical
2022-10-31,8,26,37,44,52,1,historical
2022-10-24,13,31,40,45,54,8,historical
2022-10-17,5,23,38,48,53,4,historical
2022-10-10,11,29,42,47,49,2,historical
2022-10-03,7,25,36,43,51,0,historical
2022-09-26,10,28,39,46,50,9,historical
2022-09-19,4,22,34,44,54,5,historical
2022-09-12,14,32,41,45,52,6,historical
2022-09-05,6,24,37,48,53,7,historical
2022-08-29,9,27,35,47,49,1,historical
2022-08-22,12,30,40,46,50,8,historical
2022-08-15,3,21,38,43,51,3,historical
2022-08-08,8,26,36,44,52,0,historical
2022-08-01,13,31,39,45,54,9,historical
2022-07-25,5,23,37,47,49,4,historical
2022-07-18,11,29,42,48,50,6,historical
2022-07-11,7,25,34,46,53,2,historical
2022-07-04,10,28,40,43,51,7,historical
