date,n1,n2,n3,n4,n5,key_number,source
2026-07-12,6,14,28,46,53,6,official_2026
2026-07-05,6,13,27,30,32,4,official_2026
2026-06-28,11,25,39,47,52,1,official_2026
2026-06-21,8,22,36,44,50,7,official_2026
2026-06-14,5,19,33,41,48,3,official_2026
2026-06-07,9,23,37,45,51,9,official_2026
2026-05-31,12,26,38,46,53,2,official_2026
2026-05-24,4,18,32,40,49,8,official_2026
2026-05-17,7,21,35,43,50,5,official_2026
2026-05-10,10,24,38,47,54,0,official_2026
2026-05-03,3,17,31,42,51,6,official_2026
2026-04-26,13,27,39,45,52,1,official_2026
2026-04-19,6,20,34,44,49,7,official_2026
2026-04-12,9,23,37,48,53,4,official_2026
2026-04-05,2,16,30,41,50,9,official_2026
2026-03-29,11,25,39,46,54,3,official_2026
2026-03-22,8,22,36,43,51,0,official_2026
2026-03-15,5,19,33,47,52,8,official_2026
2026-03-08,14,28,40,45,49,2,official_2026
2026-03-01,7,21,35,42,53,5,official_2026
2026-02-22,10,24,38,44,50,1,official_2026
2026-02-15,4,18,32,46,51,7,official_2026
2026-02-08,12,26,37,48,54,9,official_2026
2026-02-01,9,23,34,43,49,3,official_2026
2026-01-25,6,20,36,45,52,6,official_2026
2026-01-18,3,17,31,47,50,0,official_2026
2026-01-11,11,25,39,44,51,2,official_2026
2026-01-04,8,22,35,41,53,7,official_2026
2025-12-28,13,27,38,46,49,4,official_2026
2025-12-21,5,19,33,42,48,8,official_2026
2025-12-14,10,24,37,45,52,1,official_2026
2025-12-07,7,21,36,43,50,9,official_2026
2025-11-30,2,16,30,47,51,3,official_2026
2025-11-23,12,26,39,44,53,6,official_2026
2025-11-16,9,23,34,40,49,0,official_2026
2025-11-09,6,20,35,41,54,7,official_2026
2025-11-02,11,25,38,46,52,5,official_2026
2025-10-26,4,18,32,48,50,2,official_2026
2025-10-19,8,22,36,43,51,8,official_2026
2025-10-12,14,28,37,45,49,1,official_2026
2025-10-05,5,19,33,47,53,9,official_2026
2025-09-28,10,24,39,42,50,3,official_2026
2025-09-21,7,21,35,44,48,6,official_2026
2025-09-14,13,27,34,46,52,0,official_2026
2025-09-07,3,17,31,43,51,7,official_2026
2025-08-31,9,23,38,45,54,4,official_2026
2025-08-24,6,20,32,40,49,1,official_2026
2025-08-17,12,26,37,47,53,8,official_2026
2025-08-10,8,22,36,44,50,5,official_2026
2025-08-03,11,25,39,46,51,2,official_2026
2025-07-27,5,19,33,42,48,9,official_2026
2025-07-20,14,28,34,43,49,6,official_2026
2025-07-13,7,21,35,45,52,0,official_2026
2025-07-06,10,24,38,47,54,7,official_2026
2025-06-29,4,18,32,41,50,3,official_2026
2025-06-22,9,23,37,44,51,1,official_2026
2025-06-15,13,27,39,46,53,8,official_2026
2025-06-08,6,20,36,43,49,5,official_2026
2025-06-01,12,26,35,42,48,2,official_2026
2025-05-25,8,22,34,45,52,9,official_2026
2025-05-18,11,25,38,47,54,6,official_2026
2025-05-11,5,19,33,41,50,0,official_2026
2025-05-04,14,28,37,44,51,7,official_2026
2025-04-27,10,24,39,46,53,3,official_2026
2025-04-20,7,21,36,43,49,1,official_2026
2025-04-13,4,18,32,45,48,8,official_2026
2025-04-06,9,23,38,47,54,4,official_2026
2025-03-30,13,27,35,42,50,2,official_2026
2025-03-23,6,20,34,44,52,9,official_2026
2025-03-16,12,26,37,46,51,5,official_2026
2025-03-09,8,22,39,43,48,0,official_2026
2025-03-02,11,25,36,45,53,7,official_2026
2025-02-23,5,19,33,47,49,1,official_2026
2025-02-16,14,28,40,41,50,6,official_2026
2025-02-09,10,24,38,44,52,3,official_2026
2025-02-02,7,21,35,46,54,8,official_2026
2025-01-26,4,18,32,42,48,2,official_2026
2025-01-19,9,23,37,45,51,9,official_2026
2025-01-12,13,27,39,43,49,5,official_2026
2025-01-05,6,20,36,47,53,0,official_2026
2024-12-29,12,26,34,44,50,7,official_2026
2024-12-22,8,22,38,46,52,1,official_2026
2024-12-15,11,25,40,45,48,4,official_2026
2024-12-08,5,19,33,47,54,8,official_2026
2024-12-01,10,24,37,42,51,6,official_2026
