date,n1,n2,n3,n4,n5,key_number,source
2022-07-04,10,28,40,43,51,7,historical
2022-07-11,7,25,34,46,53,2,historical
2022-07-18,11,29,42,48,50,6,historical
2022-07-25,5,23,37,47,49,4,historical
2022-08-01,13,31,39,45,54,9,historical
2022-08-08,8,26,36,44,52,0,historical
2022-08-15,3,21,38,43,51,3,historical
2022-08-22,12,30,40,46,50,8,historical
2022-08-29,9,27,35,47,49,1,historical
2022-09-05,6,24,37,48,53,7,historical
2022-09-12,14,32,41,45,52,6,historical
2022-09-19,4,22,34,44,54,5,historical
2022-09-26,10,28,39,46,50,9,historical
2022-10-03,7,25,36,43,51,0,historical
2022-10-10,11,29,42,47,49,2,historical
2022-10-17,5,23,38,48,53,4,historical
2022-10-24,13,31,40,45,54,8,historical
2022-10-31,8,26,37,44,52,1,historical
2022-11-07,3,21,35,46,50,7,historical
2022-11-14,12,30,39,47,49,3,historical
2022-11-21,9,27,41,43,51,6,historical
2022-11-28,6,24,36,48,54,9,historical
2022-12-05,14,32,38,45,53,0,historical
2022-12-12,4,22,34,44,52,5,historical
2022-12-19,10,28,40,46,50,8,historical
2022-12-26,7,25,37,47,49,1,historical
2023-01-01,5,23,39,43,51,2,historical
2023-01-08,11,29,36,48,53,7,historical
2023-01-15,13,31,42,45,54,4,historical
2023-01-22,8,26,35,46,50,9,historical
2023-01-29,3,21,38,44,52,0,historical
2023-02-05,12,30,41,47,49,6,historical
2023-02-12,9,27,40,43,51,5,historical
2023-02-19,6,24,37,48,53,8,historical
2023-02-26,14,32,39,46,54,1,historical
2023-03-05,4,22,36,45,50,3,historical
2023-03-12,10,28,35,44,52,7,historical
2023-03-19,7,25,38,47,49,0,historical
2023-03-26,5,23,34,48,53,9,historical
2023-04-02,11,29,37,43,51,2,historical
2023-04-09,13,31,40,46,54,6,historical
2023-04-16,8,26,39,45,50,4,historical
2023-04-23,3,21,36,44,52,8,historical
2023-04-30,12,30,42,47,49,1,historical
2023-05-07,9,27,35,48,53,7,historical
2023-05-14,6,24,38,43,51,5,historical
2023-05-21,14,32,41,46,54,9,historical
2023-05-28,4,22,33,45,50,0,historical
2023-06-04,10,28,37,47,52,3,historical
2023-06-11,7,25,39,44,49,8,historical
2023-06-18,15,30,40,48,53,1,historical
2023-06-25,5,23,34,42,51,7,historical
2023-07-02,11,29,36,46,54,2,historical
2023-07-09,8,26,38,45,50,6,historical
2023-07-16,13,31,41,47,53,9,historical
2023-07-23,2,20,37,44,49,0,historical
2023-07-30,9,27,39,48,52,5,historical
2023-08-06,6,24,35,43,51,4,historical
2023-08-13,14,32,42,46,54,8,historical
2023-08-20,4,22,33,47,50,1,historical
2023-08-27,10,28,38,45,53,7,historical
2023-09-03,7,25,36,44,49,3,historical
2023-09-10,12,30,39,48,52,9,historical
2023-09-17,5,23,37,43,51,0,historical
2023-09-24,11,29,40,46,54,6,historical
2023-10-01,8,26,34,47,50,2,historical
2023-10-08,13,31,41,49,53,5,historical
2023-10-15,3,21,38,45,52,8,historical
2023-10-22,9,27,36,44,51,1,historical
2023-10-29,6,24,39,48,54,4,historical
2023-11-05,14,30,42,46,53,7,historical
2023-11-12,4,22,35,43,50,9,historical
2023-11-19,10,28,37,47,51,0,historical
2023-11-26,7,25,38,45,52,6,historical
2023-12-03,15,31,40,48,54,3,historical
2023-12-10,2,20,34,41,49,8,historical
2023-12-17,8,26,36,44,53,1,historical
2023-12-24,11,29,39,46,50,5,historical
2023-12-31,5,23,33,47,52,2,historical
2024-01-07,12,30,42,48,54,7,historical
2024-01-14,6,24,37,45,51,4,historical
2024-01-21,9,27,38,46,53,9,historical
2024-01-28,4,22,35,43,50,0,historical
2024-02-04,13,31,41,49,54,6,historical
2024-02-11,7,25,36,44,52,3,historical
2024-02-18,10,28,39,47,51,8,historical
2024-02-25,3,21,34,42,50,1,historical
2024-03-03,14,32,40,48,53,5,historical
2024-03-10,8,26,38,46,54,7,historical
2024-03-17,5,23,37,45,49,2,historical
2024-03-24,11,30,41,47,52,9,historical
2024-03-31,2,18,36,44,51,0,historical
2024-04-07,9,27,39,48,53,6,historical
2024-04-14,6,20,35,43,54,4,historical
2024-04-21,12,29,42,46,50,8,historical
2024-04-28,4,22,33,47,52,1,historical
2024-05-05,10,26,34,49,51,3,historical
2024-05-12,7,25,38,45,54,7,historical
2024-05-19,13,31,40,48,53,0,historical
2024-05-26,3,19,37,44,50,5,historical
2024-06-02,8,24,36,43,52,9,historical
2024-06-09,11,28,35,46,51,2,historical
2024-06-16,5,27,41,47,54,6,historical
2024-06-23,14,30,42,50,53,8,historical
2024-06-30,6,23,39,45,49,1,historical
2024-07-07,2,20,32,48,52,4,historical
2024-07-14,9,26,38,44,54,7,historical
2024-07-21,4,18,34,47,51,0,historical
2024-07-28,12,29,41,46,53,3,historical
2024-08-04,7,25,37,43,50,5,historical
2024-08-11,3,22,36,49,52,8,historical
2024-08-18,11,28,40,48,54,1,historical
2024-08-25,5,19,33,42,51,6,historical
2024-09-01,8,21,35,47,53,9,historical
2024-09-08,1,17,31,44,50,2,historical
2024-09-15,13,27,39,46,54,4,historical
2024-09-22,10,24,36,41,49,7,historical
2024-09-29,6,20,30,43,52,0,historical
2024-10-06,2,14,26,38,45,5,historical
2024-10-13,9,23,32,40,51,8,historical
2024-10-20,4,16,28,35,48,3,historical
2024-10-27,11,25,37,44,54,6,historical
2024-11-03,7,22,34,42,53,2,historical
2024-11-10,5,19,31,39,50,9,historical
2024-11-17,12,18,29,36,47,1,historical
2024-11-24,8,21,33,41,52,4,historical
2024-12-01,3,15,27,38,49,7,historical
2024-12-08,5,19,33,47,54,8,official_2026
2024-12-15,11,25,40,45,48,4,official_2026
2024-12-22,8,22,38,46,52,1,official_2026
2024-12-29,12,26,34,44,50,7,official_2026
2025-01-05,6,20,36,47,53,0,official_2026
2025-01-12,13,27,39,43,49,5,official_2026
2025-01-19,9,23,37,45,51,9,official_2026
2025-01-26,4,18,32,42,48,2,official_2026
2025-02-02,7,21,35,46,54,8,official_2026
2025-02-09,10,24,38,44,52,3,official_2026
2025-02-16,14,28,40,41,50,6,official_2026
2025-02-23,5,19,33,47,49,1,official_2026
2025-03-02,11,25,36,45,53,7,official_2026
2025-03-09,8,22,39,43,48,0,official_2026
2025-03-16,12,26,37,46,51,5,official_2026
2025-03-23,6,20,34,44,52,9,official_2026
2025-03-30,13,27,35,42,50,2,official_2026
2025-04-06,9,23,38,47,54,4,official_2026
2025-04-13,4,18,32,45,48,8,official_2026
2025-04-20,7,21,36,43,49,1,official_2026
2025-04-27,10,24,39,46,53,3,official_2026
2025-05-04,14,28,37,44,51,7,official_2026
2025-05-11,5,19,33,41,50,0,official_2026
2025-05-18,11,25,38,47,54,6,official_2026
2025-05-25,8,22,34,45,52,9,official_2026
2025-06-01,12,26,35,42,48,2,official_2026
2025-06-08,6,20,36,43,49,5,official_2026
2025-06-15,13,27,39,46,53,8,official_2026
2025-06-22,9,23,37,44,51,1,official_2026
2025-06-29,4,18,32,41,50,3,official_2026
2025-07-06,10,24,38,47,54,7,official_2026
2025-07-13,7,21,35,45,52,0,official_2026
2025-07-20,14,28,34,43,49,6,official_2026
2025-07-27,5,19,33,42,48,9,official_2026
2025-08-03,11,25,39,46,51,2,official_2026
2025-08-10,8,22,36,44,50,5,official_2026
2025-08-17,12,26,37,47,53,8,official_2026
2025-08-24,6,20,32,40,49,1,official_2026
2025-08-31,9,23,38,45,54,4,official_2026
2025-09-07,3,17,31,43,51,7,official_2026
2025-09-14,13,27,34,46,52,0,official_2026
2025-09-21,7,21,35,44,48,6,official_2026
2025-09-28,10,24,39,42,50,3,official_2026
2025-10-05,5,19,33,47,53,9,official_2026
2025-10-12,14,28,37,45,49,1,official_2026
2025-10-19,8,22,36,43,51,8,official_2026
2025-10-26,4,18,32,48,50,2,official_2026
2025-11-02,11,25,38,46,52,5,official_2026
2025-11-09,6,20,35,41,54,7,official_2026
2025-11-16,9,23,34,40,49,0,official_2026
2025-11-23,12,26,39,44,53,6,official_2026
2025-11-30,2,16,30,47,51,3,official_2026
2025-12-07,7,21,36,43,50,9,official_2026
2025-12-14,10,24,37,45,52,1,official_2026
2025-12-21,5,19,33,42,48,8,official_2026
2025-12-28,13,27,38,46,49,4,official_2026
2026-01-04,8,22,35,41,53,7,official_2026
2026-01-11,11,25,39,44,51,2,official_2026
2026-01-18,3,17,31,47,50,0,official_2026
2026-01-25,6,20,36,45,52,6,official_2026
2026-02-01,9,23,34,43,49,3,official_2026
2026-02-08,12,26,37,48,54,9,official_2026
2026-02-15,4,18,32,46,51,7,official_2026
2026-02-22,10,24,38,44,50,1,official_2026
2026-03-01,7,21,35,42,53,5,official_2026
2026-03-08,14,28,40,45,49,2,official_2026
2026-03-15,5,19,33,47,52,8,official_2026
2026-03-22,8,22,36,43,51,0,official_2026
2026-03-29,11,25,39,46,54,3,official_2026
2026-04-05,2,16,30,41,50,9,official_2026
2026-04-12,9,23,37,48,53,4,official_2026
2026-04-19,6,20,34,44,49,7,official_2026
2026-04-26,13,27,39,45,52,1,official_2026
2026-05-03,3,17,31,42,51,6,official_2026
2026-05-10,10,24,38,47,54,0,official_2026
2026-05-17,7,21,35,43,50,5,official_2026
2026-05-24,4,18,32,40,49,8,official_2026
2026-05-31,12,26,38,46,53,2,official_2026
2026-06-07,9,23,37,45,51,9,official_2026
2026-06-14,5,19,33,41,48,3,official_2026
2026-06-21,8,22,36,44,50,7,official_2026
2026-06-28,11,25,39,47,52,1,official_2026
2026-07-05,6,13,27,30,32,4,official_2026
2026-07-12,6,14,28,46,53,6,official_2026
